,job_name,company,location,salary,skills_req,link
0,Customer Service (Disability candidates),Naukri Premium - Employer Services,Any,"1,50,000 - 3,00,000 PA.","flight, ticketing, arrivals, customer service",https://www.naukri.com/job-listings-customer-service-disability-candidates-naukri-employer-services-any-0-to-3-years-220222005501?src=jobsearchDesk&sid=16470880780401477&xp=1&px=1
1,Assistant Manager - Disability Claims,Genpact,Gurgaon/Gurugram,Not disclosed,"team handling, claims, insurance operations, IT Skills, Project Management, BPO, customer service, project management",https://www.naukri.com/job-listings-assistant-manager-disability-claims-genpact-india-private-limited-gurgaon-gurugram-5-to-8-years-090322001258?src=jobsearchDesk&sid=16470880780401477&xp=2&px=1
2,Assistant Manager - Disability Claims,Genpact,"Gurgaon/Gurugram
(WFH during Covid)",Not disclosed,"MS PowerPoint, MS Excel, MS Word, backend operations, customer service, team handling, claims adjudication, disability claims",https://www.naukri.com/job-listings-assistant-manager-disability-claims-genpact-india-private-limited-gurgaon-gurugram-6-to-11-years-080322009978?src=jobsearchDesk&sid=16470880780401477&xp=3&px=1
3,Hiring For Disability Insurance - Assistant Manager,Genpact,"Noida, Gurgaon/Gurugram, Delhi / NCR
(WFH during Covid)",Not disclosed,"disability insurance, team handling, insurance operations, Workers Compensation, Claims Management",https://www.naukri.com/job-listings-hiring-for-disability-insurance-assistant-manager-genpact-india-private-limited-noida-gurgaon-gurugram-delhi-ncr-5-to-9-years-080322009372?src=jobsearchDesk&sid=16470880780401477&xp=4&px=1
4,Hiring For Disability Insurance - Assistant Manager,Genpact,"Noida, Gurgaon/Gurugram, Delhi / NCR
(WFH during Covid)",Not disclosed,"IT Skills, Project Management, BPO, project management, Workers Compensation, Claims Management, disability insurance, team handling",https://www.naukri.com/job-listings-hiring-for-disability-insurance-assistant-manager-genpact-india-private-limited-noida-gurgaon-gurugram-delhi-ncr-5-to-9-years-080322008280?src=jobsearchDesk&sid=16470880780401477&xp=5&px=1
5,"Operations Manager, Disability and Leave Services (DLS)",Amazon,"Pune
(WFH during Covid)",Not disclosed,"service delivery, people management, operations leadership, IT Skills, Project Management, BPO, project management, quality initiatives",https://www.naukri.com/job-listings-operations-manager-disability-and-leave-services-dls-amazon-development-centre-india-pvt-ltd-pune-15-to-20-years-250222006810?src=jobsearchDesk&sid=16470880780401477&xp=6&px=1
6,Learning Disability Educator,Jingle Bell Nursery School society,Faizabad,"5,00,000 - 5,50,000 PA.","English fluency, Special Educator, Learning disability",https://www.naukri.com/job-listings-learning-disability-educator-jingle-bell-nursery-school-society-faizabad-0-to-0-years-140222002819?src=jobsearchDesk&sid=16470880780401477&xp=7&px=1
7,Intellectual Disability Service Manager - Osborne,Osborne - Recruitment Consultancy,Chennai,Not disclosed,"CV, Email, Policies, Incharge, Support, Relationship building, Service, Healthcare",https://www.naukri.com/job-listings-intellectual-disability-service-manager-osborne-osborne-recruitment-consultancy-chennai-3-to-8-years-170418500830?src=jobsearchDesk&sid=16470880780401477&xp=8&px=1
8,IT Service Desk Engineer,Wipro,"Hyderabad/Secunderabad, Navi Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",Not disclosed,"Communication Skills, IT Service Desk, Troubleshooting, Communication, Service Level, Customer Service, Information Technology",https://www.naukri.com/job-listings-it-service-desk-engineer-wipro-hyderabad-secunderabad-navi-mumbai-pune-chennai-bangalore-bengaluru-delhi-ncr-0-to-4-years-280122010463?src=jobsearchDesk&sid=16470880780401477&xp=9&px=1
9,Insurance Operations - Disability Claims,Golden Opportunities Pvt Ltd.,Mumbai,Not disclosed,"BPO, Green belt, Insurance operations, Claims, Process improvement, Customer service, ITES, Outsourcing",https://www.naukri.com/job-listings-insurance-operations-disability-claims-golden-opportunities-pvt-ltd-mumbai-12-to-15-years-120220501472?src=jobsearchDesk&sid=16470880780401477&xp=10&px=1
